cell_id,size,x,y,solidity,eccentricity,memref,DAPI,Opal_480,ICOS,CD4,CD8,FOXP3,CD3,Unstained,DAPI_local_90,DAPI_ratio_pixels,DAPI_otsu3,Opal_480_local_90,Opal_480_ratio_pixels,Opal_480_otsu3,ICOS_local_90,ICOS_ratio_pixels,ICOS_otsu3,CD4_local_90,CD4_ratio_pixels,CD4_otsu3,CD8_local_90,CD8_ratio_pixels,CD8_otsu3,FOXP3_local_90,FOXP3_ratio_pixels,FOXP3_otsu3,CD3_local_90,CD3_ratio_pixels,CD3_otsu3,Unstained_local_90,Unstained_ratio_pixels,Unstained_otsu3
466,1396.0,794,438,0.9432432432432432,0.7553342014324296,1,3047.2077363896847,334.58667621776505,5181.764326647564,5345.6253581661895,1274.444842406877,1227.0107449856737,131.13252148997134,1599.7263610315183,5573.0,0.1912607449856733,-0.0375859805189571,435.0,0.7743553008595988,0.0691453890191088,9816.5,0.9978510028653296,0.1237164095466479,7518.5,0.157593123209169,-0.0231243329602565,1766.0,0.0,-0.0770369210943516,1491.0,0.0,-0.025604684045994,214.0,0.0,-0.0258291580976368,2129.0,0.5544412607449857,0.0115936107252976
467,1237.0,24,634,0.8842030021443888,0.8177410376703649,0,7793.045270816491,286.84316895715443,4468.191592562652,4203.644300727567,9396.903799514956,3562.7291835084884,470.874696847211,3270.6443007275666,11862.600000000002,0.8253839935327405,0.0894303328957416,365.0,0.7202910266774454,0.0272283501599248,5366.4,0.9991915925626516,0.0956041795468483,5227.0,0.0064672594987873,-0.0453051828668045,14790.2,0.6370250606305577,0.0613684729878498,4152.200000000001,1.0,0.0443668098733857,680.2000000000003,0.5424413904607922,0.0033959752664267,4123.8,1.0,0.1685462633362358
468,560.0,688,552,0.963855421686747,0.3646111959393601,1,4645.919642857143,407.3,2527.9214285714284,2743.839285714286,1737.5946428571428,1424.9982142857143,110.92142857142858,1386.432142857143,7081.1,0.4982142857142857,0.0052015129632037,464.1,1.0,0.1329850060359965,3020.0,0.9214285714285714,0.0191644299510077,3397.5,0.0,-0.0736591697564477,2064.0,0.0,-0.0691449229951412,1782.2,0.0,-0.0196735415008323,161.10000000000002,0.0,-0.027567746735791,1880.4,0.425,-0.0084415403337269
469,721.0,1072,950,0.8573127229488704,0.8934964573692245,0,10660.141470180306,297.69486823855755,3194.141470180305,3274.3120665742026,3332.862690707351,2303.128987517337,181.7877947295423,1885.2288488210816,14459.0,0.8640776699029126,0.166164520867153,348.0,0.8488210818307905,0.0367557419785404,3667.0,1.0,0.0454111321378601,3888.0,0.0,-0.0633557264067359,4412.0,0.0124826629680998,-0.0419618120683408,2814.0,0.6837725381414702,0.0066327636797081,289.0,0.001386962552011,-0.0214717152383189,2333.0,0.9056865464632456,0.038411428477464
470,951.0,383,12,0.917953667953668,0.7417073255163483,1,5391.077812828601,396.2471083070452,4239.602523659306,4248.246056782335,13297.333333333334,3086.028391167192,450.93585699263934,2663.819137749737,9591.0,0.5499474237644585,0.0251447248776523,457.0,1.0,0.1232809746988983,4573.0,1.0,0.0865985825369068,4766.0,0.0,-0.0444388770290893,16688.0,1.0,0.1278311648363039,3386.0,1.0,0.0300862073647341,566.0,0.555205047318612,0.0016808062466786,3124.0,0.9978969505783386,0.1115459662314237
471,1008.0,451,854,0.9701636188642926,0.6485831382279849,0,2400.8363095238096,256.56448412698415,2200.15873015873,3824.9375,2678.2867063492063,1367.844246031746,210.6031746031746,1337.407738095238,4283.2000000000035,0.0922619047619047,-0.0548852907337595,313.0,0.5148809523809523,0.0006447813889237,3409.3,0.5188492063492064,0.0062517443577879,6688.400000000001,0.119047619047619,-0.0526608554069146,6705.600000000002,0.117063492063492,-0.0531156815492757,2331.3,0.1418650793650793,-0.021385712144431,459.9000000000002,0.1101190476190476,-0.0189929728835978,2093.3,0.3373015873015873,-0.013046500390265
472,1611.0,277,460,0.9698976520168572,0.6815733305468745,1,5393.977032898821,263.4487895716946,3999.967101179392,4043.057107386716,7110.205462445686,2904.3296089385476,288.78895096213535,2387.7032898820607,9059.0,0.5667287399130975,0.0252223188202232,325.0,0.5716945996275605,0.0066889477143938,4928.0,0.926132836747362,0.0771577984499228,5061.0,0.0,-0.0484242892733472,9896.0,0.685909373060211,0.0224035011535236,3663.0,0.8621973929236499,0.0246430276448742,396.0,0.0664183736809435,-0.0122673147021819,3135.0,0.8919925512104283,0.0856098542769172
473,711.0,687,948,0.9673469387755104,0.7646097482040431,0,5942.535864978903,275.7552742616034,4182.181434599156,3984.0731364275666,2400.8326300984527,3189.071729957806,198.54289732770744,2374.89029535865,12011.0,0.5443037974683544,0.0399037991777888,324.0,0.7060478199718706,0.0174935874772637,5366.0,0.978902953586498,0.0843363956771916,5454.0,0.0,-0.049569942783285,3214.0,0.0,-0.057843454378413,4431.0,0.829817158931083,0.0331730932815915,367.2000000000001,0.0323488045007032,-0.0200304160900896,3161.0,0.9324894514767932,0.0844063041619997
474,594.0,625,481,0.9310344827586208,0.7080935423660639,0,6456.12962962963,338.5858585858586,2689.626262626263,3464.4427609427607,4056.5218855218855,1501.6363636363635,306.44444444444446,1548.1835016835016,8721.0,0.8164983164983165,0.0536494839184677,410.7000000000001,0.9747474747474748,0.0726565236706396,3086.9000000000005,0.9781144781144782,0.0255350257850239,4699.5,0.0,-0.0596627926518838,7430.500000000001,0.1835016835016835,-0.0296307757936835,1768.3000000000004,0.0033670033670033,-0.017377680102113,594.4000000000001,0.1784511784511784,-0.0107485625746714,1838.8,0.6144781144781145,0.0067520872096094
475,489.0,5,637,0.9760479041916168,0.9532432534915882,0,12216.685071574642,276.2433537832311,4871.752556237218,4991.535787321063,4741.296523517382,3803.370143149284,470.57464212678934,2878.562372188139,16334.0,0.967280163599182,0.2078234332264918,344.0,0.6462167689161554,0.0179221032995883,5290.2,1.0,0.1115030474377425,6967.2,0.1288343558282208,-0.0300018617714661,6213.6,0.1697341513292433,-0.0179623261124053,4075.8,1.0,0.0515757299069615,561.2,0.7177914110429447,0.0033701641076808,3306.0,1.0,0.1317172262763609
