cell_id,size,x,y,solidity,eccentricity,memref,DAPI,CD103,GranzymeB,CD4,CD8,CD20,CD3,Unstained,DAPI_local_90,DAPI_ratio_pixels,DAPI_otsu3,CD103_local_90,CD103_ratio_pixels,CD103_otsu3,GranzymeB_local_90,GranzymeB_ratio_pixels,GranzymeB_otsu3,CD4_local_90,CD4_ratio_pixels,CD4_otsu3,CD8_local_90,CD8_ratio_pixels,CD8_otsu3,CD20_local_90,CD20_ratio_pixels,CD20_otsu3,CD3_local_90,CD3_ratio_pixels,CD3_otsu3,Unstained_local_90,Unstained_ratio_pixels,Unstained_otsu3
1,705.0,436,375,0.9539918809201624,0.6998184681888678,0,332.2964539007092,2358.4751773049647,6081.900709219858,15283.421276595745,466.07659574468084,3122.2964539007094,1573.6624113475177,11803.920567375886,1716.0000000000005,0.23120567375886525,-0.03656698192454767,3597.6000000000004,0.6624113475177305,0.01691853749971506,7042.6,0.10638297872340426,-0.02291008973580888,21989.600000000002,0.573049645390071,0.026056534909480455,767.7,0.4695035460992908,0.002340995277657215,4196.0,0.7801418439716312,0.0767538757724589,2397.2,0.500709219858156,0.006867940145524845,13528.800000000001,0.526241134751773,0.006612566903823253
2,269.0,236,364,0.8996655518394648,0.6990568585857754,0,1317.4795539033457,3282.754646840149,7300.933085501859,5986.100371747212,856.1970260223048,3257.081784386617,897.817843866171,10136.066914498142,2262.7999999999997,0.7806691449814126,0.15033931669101608,4268.4000000000015,0.9888475836431226,0.05186954788107956,8301.4,0.5910780669144982,0.007104988224549635,6789.400000000001,0.0,-0.12824304030997905,1009.2,1.0,0.08113728497218842,4294.400000000001,0.9776951672862454,0.08993194875700206,1651.6000000000001,0.11152416356877323,-0.04389400723928415,11491.400000000001,0.09293680297397769,-0.03317022225937072
3,562.0,54,281,0.9413735343383585,0.399077894186939,0,461.3238434163701,1277.829181494662,5133.261565836299,13857.14590747331,470.29359430604984,2494.7277580071172,1628.2402135231316,10131.402135231318,1969.4000000000005,0.3238434163701068,-0.01208825122531397,2649.0,0.3096085409252669,-0.023945368562311893,6567.8,0.04804270462633452,-0.04626753158796722,24149.100000000002,0.41637010676156583,0.0023858790448645084,744.0,0.5960854092526691,0.0031927421088769614,4356.9000000000015,0.4430604982206406,0.01539596651418823,3031.8,0.47153024911032027,0.01096721926341683,12004.7,0.19572953736654805,-0.03328148977360659
4,676.0,337,39,0.9615931721194879,0.7445244730424888,0,370.94674556213016,1390.207100591716,6733.628698224852,15556.704142011835,330.57988165680473,2864.128698224852,1323.5636094674555,11948.958579881657,1652.0,0.29289940828402367,-0.029234352127275626,2871.6000000000004,0.34023668639053256,-0.019695872661496847,9232.5,0.3121301775147929,-0.006863209620454724,29392.5,0.47781065088757396,0.03059197371814512,658.0,0.3683431952662722,-0.02502654947852863,3706.0,0.7529585798816568,0.05151260126367346,2272.5,0.4334319526627219,-0.011916707734906454,17014.0,0.40976331360946744,0.010072113046981607
5,744.0,285,44,0.9196538936959209,0.6710671321674323,0,254.9784946236559,3038.1922043010754,8208.797043010753,8908.697580645161,634.4784946236559,3750.8655913978496,2009.8602150537633,11741.81182795699,2185.0,0.1639784946236559,-0.051235538038577895,4056.5,0.9354838709677419,0.04262158257425129,11467.5,0.6935483870967742,0.029458461349799403,12371.900000000001,0.01881720430107527,-0.07973922803053421,1060.7,0.7432795698924731,0.03635470945236435,4967.1,0.9206989247311828,0.1382095990318586,4408.200000000001,0.489247311827957,0.039630280817467584,14009.400000000001,0.46639784946236557,0.00513110665625871
6,498.0,400,151,0.9054545454545454,0.6645177709777255,0,362.5160642570281,1222.921686746988,5877.068273092369,16985.847389558232,207.04819277108433,2294.379518072289,596.8975903614457,11047.283132530121,1490.0,0.2971887550200803,-0.030833798400298207,1938.4,0.10843373493975904,-0.026021658777765633,7831.3,0.20682730923694778,-0.027953484528921824,21849.0,0.8032128514056225,0.054310225274802615,327.0,0.0,-0.04997740564611506,2833.3,0.3393574297188755,-0.00419224622875547,894.3,0.006024096385542169,-0.06649579884997403,13573.3,0.3273092369477912,-0.011435268103470064
7,869.0,369,183,0.9507658643326039,0.7051306313489104,0,431.96662830840046,1861.457997698504,6801.238204833142,14824.2750287687,422.3486766398159,3751.0276179516686,1235.7859608745684,11823.285385500576,2347.4,0.27387802071346373,-0.017657823433238393,3066.7000000000003,0.5120828538550057,-0.0018758349565700938,7968.0,0.5051783659378596,-0.005198524866224907,22074.6,0.4890678941311853,0.018436482667723825,617.0,0.4798619102416571,-0.006491143503369851,4873.0,0.9620253164556962,0.13822544050172747,1874.8000000000002,0.2945914844649022,-0.018509591060194647,14688.800000000001,0.4936708860759494,0.007074469826366198
8,472.0,505,189,0.9402390438247012,0.7679487527516722,0,733.2733050847457,2438.544491525424,6660.949152542373,10693.302966101695,440.98093220338984,1897.0783898305085,943.4978813559322,10988.847457627118,2190.0,0.461864406779661,0.03950527214186031,3600.4,0.7182203389830508,0.019946305101169362,7631.5,0.3855932203389831,-0.00865272913792356,16699.300000000007,0.21610169491525424,-0.05012167952075852,778.9000000000008,0.451271186440678,-0.0027278117393678414,2859.8,0.1885593220338983,-0.04303670538418963,1597.3000000000002,0.13559322033898305,-0.04046302950984436,13027.0,0.326271186440678,-0.012829115897168258
9,517.0,524,180,0.9451553930530164,0.6649071522930264,0,602.3500967117989,2293.704061895551,8256.628626692456,13585.081237911025,522.458413926499,1541.806576402321,1061.8742746615087,13473.176015473888,2284.0,0.3655705996131528,0.014666871767558126,3572.0,0.6421663442940039,0.014469261061469132,9587.0,0.9168278529980658,0.030636173066983213,21120.2,0.41005802707930367,-0.002129342423267372,890.2,0.6015473887814313,0.013728960977883065,2032.0000000000002,0.04061895551257253,-0.07777192374830649,2033.4,0.27079303675048355,-0.03157190788557092,16746.2,0.8646034816247582,0.04642879264797939
10,742.0,488,75,0.9699346405228758,0.576730708314227,0,388.2466307277628,3099.363881401617,8357.630727762804,13320.78436657682,713.477088948787,1827.2479784366576,731.1091644204852,13018.54986522911,2737.9,0.21024258760107817,-0.02595226425673254,4544.200000000001,0.8315363881401617,0.04493474865859774,9673.2,0.8126684636118598,0.03312305200208804,19969.8,0.33692722371967654,-0.006515648478104402,1097.0,0.7264150943396226,0.05231079798501051,2327.7,0.09433962264150944,-0.04986408232922784,905.9,0.0,-0.05641531409264795,14707.0,0.8908355795148248,0.03558473792407951
11,489.0,520,91,0.933206106870229,0.7992933322960523,0,410.4437627811861,7770.879345603272,8627.188139059304,7062.300613496933,1492.5132924335378,849.4151329243354,3218.280163599182,12592.269938650306,2161.5,0.27607361963190186,-0.021741083825424765,11187.5,0.9713701431492843,0.22158498364447993,12303.0,0.6993865030674846,0.0397601084677526,9088.2,0.0081799591002045,-0.11038227785458579,2180.6,0.9938650306748467,0.2096600614640553,1055.6,0.0,-0.14546760652871182,4718.4,0.9161554192229039,0.13039338345720158,15544.2,0.623721881390593,0.025416816767252798
12,955.0,561,358,0.9280855199222546,0.39088561650298714,0,904.8471204188481,1777.1403141361257,5893.704712041885,15213.386387434555,433.048167539267,1922.310994764398,1410.4020942408376,11234.952879581151,3596.500000000001,0.39162303664921466,0.07205579677363844,2922.0,0.437696335078534,-0.005064251805213624,6743.2,0.06701570680628273,-0.027543861272174994,23352.4,0.5424083769633508,0.024894226567248434,835.0,0.4827225130890052,-0.004330066771507365,2813.8,0.2450261780104712,-0.04056969277821687,2127.2000000000003,0.39895287958115183,-0.0053943639784559405,13445.8,0.3612565445026178,-0.006958840590565035
13,474.0,363,384,0.9168278529980658,0.8292892564500277,0,321.32911392405066,3534.3586497890296,9113.181434599157,16488.5,592.8291139240506,3751.4388185654007,1948.4894514767932,14423.976793248945,2252.6,0.21308016877637131,-0.03864767628551496,5690.0,0.8248945147679325,0.061383785088448856,11064.4,0.959915611814346,0.051726260423724746,23312.199999999997,0.6371308016877637,0.04605618180026555,896.0,0.6582278481012658,0.027942392607362268,4445.7,0.9957805907172996,0.13826564392504898,2723.4,0.7658227848101266,0.03502078978720094,16093.1,0.9852320675105485,0.06910794487045474
14,743.0,537,325,0.9489144316730523,0.6097749269809151,0,221.88021534320322,1768.4602960969044,5603.401076716016,16163.532974427995,244.77658142664873,2354.815612382234,1350.8963660834454,11330.725437415882,1810.8999999999999,0.16150740242261102,-0.05751485491971102,3120.0,0.44952893674293404,-0.005392480885917775,6523.200000000003,0.040376850605652756,-0.034691732334514794,27114.800000000003,0.47644683714670255,0.04066298579044056,485.20000000000005,0.10497981157469717,-0.04235704841412871,3596.8,0.41722745625841184,0.0017166405829325548,2894.0,0.30955585464333785,-0.00986377423513253,14751.800000000003,0.3445491251682369,-0.004674407859081159
15,540.0,141,143,0.8852459016393442,0.6268454439314306,0,762.9648148148148,2235.0759259259257,9824.83888888889,13976.037037037036,636.7,4234.264814814815,941.8018518518519,13948.085185185186,2684.3,0.3962962962962963,0.045138265829978125,4559.0,0.5833333333333334,0.012252277284966001,10958.6,0.9962962962962963,0.06924872692024645,24435.600000000002,0.45740740740740743,0.0043590120556308565,1038.0,0.7,0.03680340777115734,5757.0,0.9888888888888889,0.18547193999949302,1526.4000000000003,0.10740740740740741,-0.04059041643368996,16594.4,0.9796296296296296,0.05775665186254142
16,681.0,286,406,0.926530612244898,0.7424883372384158,0,527.6769456681351,1567.295154185022,6358.635829662261,14965.337738619677,453.0220264317181,2248.481644640235,882.5550660792951,10828.819383259912,1720.1999999999998,0.3964757709251101,0.00050008158663159,3420.0,0.4199706314243759,-0.012999406274909357,7214.0,0.18649045521292218,-0.01609630334583491,29055.0,0.44493392070484583,0.020777578175996625,774.0,0.5712187958883994,-0.0002957587746479362,3085.0,0.368575624082232,-0.008679719188479151,1799.0,0.16299559471365638,-0.04504037781062828,14328.0,0.33627019089574156,-0.01664621527621621
