cell_id,size,x,y,solidity,eccentricity,memref,DAPI,Opal_480,ICOS,CD4,CD8,FOXP3,CD3,Unstained,DAPI_local_90,DAPI_ratio_pixels,DAPI_otsu3,Opal_480_local_90,Opal_480_ratio_pixels,Opal_480_otsu3,ICOS_local_90,ICOS_ratio_pixels,ICOS_otsu3,CD4_local_90,CD4_ratio_pixels,CD4_otsu3,CD8_local_90,CD8_ratio_pixels,CD8_otsu3,FOXP3_local_90,FOXP3_ratio_pixels,FOXP3_otsu3,CD3_local_90,CD3_ratio_pixels,CD3_otsu3,Unstained_local_90,Unstained_ratio_pixels,Unstained_otsu3
1,1166.0,1040,297,0.9268680445151032,0.3439889690504658,1,13294.471698113208,434.8027444253859,5096.518867924528,10322.868782161237,14421.5051457976,3893.40051457976,33.5728987993139,4752.433104631218,25781.5,0.7984562607204116,0.1443860625160962,523.0,0.3730703259005146,-0.0073347195782838,5850.0,0.9914236706689536,0.1230082407334412,14669.5,0.9982847341337908,0.0813450057837222,21597.0,0.7590051457975986,0.0688803632803616,5056.0,0.9451114922813036,0.1062737901518695,134.0,0.1921097770154373,-0.0173369157375643,5756.0,0.9854202401372212,0.0915737393427605
2,1307.0,160,818,0.9349070100143062,0.6861787570190077,1,5539.9808722264725,444.1086457536343,3714.0596786534047,4143.040550879878,7186.324407039021,3077.575363427697,38.07498087222648,3228.212700841622,11380.2,0.4590665646518745,-0.0002117376235087,670.0000000000005,0.2700841622035195,-0.004105746181945,5240.4,0.5990818668706962,0.0294661073501864,6406.0,0.1446059678653404,-0.0129531285152227,14564.600000000002,0.1966335118592196,-0.0421857641432844,3808.000000000001,0.954858454475899,0.0538799072187205,91.5,0.1905126243305279,-0.0152092777068872,5009.000000000002,0.4139250191277735,0.012717078170967
3,1284.0,152,918,0.9406593406593406,0.6075261329794917,1,6235.310747663551,365.6043613707165,2670.478971962617,1816.739875389408,13434.320872274144,2222.645638629283,74.57866043613707,2505.605919003115,12027.3,0.5451713395638629,0.0127540615007748,537.7,0.2686915887850467,-0.0313452619289672,3501.0,0.2281931464174454,-0.0411462958361447,2906.1000000000004,0.0,-0.0484502014608314,22921.300000000003,0.6557632398753894,0.0537262519633597,3492.6000000000004,0.5124610591900312,-0.0010253477294789,137.0,0.5350467289719626,0.002041988627664,3646.4,0.3933021806853582,-0.0246675139878878
4,1151.0,980,468,0.9696714406065712,0.5584737786955806,1,7528.296264118158,433.1989574283232,3468.0173761946135,6188.192875760208,10539.87054735013,2654.2667245873154,22.860121633362297,3373.616854908775,21037.0,0.3892267593397046,0.0368643306969896,509.0,0.366637706342311,-0.0078912036161265,3984.0,0.6220677671589921,0.0128180051471421,9134.0,0.6741963509991312,0.0182538955922058,16731.0,0.4995655951346655,0.0092939979234166,3336.0,0.8088618592528236,0.026694200530622,88.0,0.0947002606429192,-0.0223996648708117,4386.0,0.6637706342311034,0.0202396687895791
5,1837.0,960,940,0.9473955647240846,0.5717847062126151,1,4266.87915078933,502.8976592270006,4936.493195427327,5559.256940664126,10041.070223189983,4069.319542732717,15.308655416439848,3771.5737615677735,10342.2,0.3636363636363636,-0.0239512341819696,612.4000000000001,0.718562874251497,0.0162929399642611,5513.200000000001,1.0,0.1121803313689916,6262.8,0.8334240609689711,0.0086569483869554,12826.8,0.482308111050626,0.0016369921950936,4873.0,1.0,0.1175716533689369,74.0,0.0528034839412084,-0.0259684107200189,4474.4,0.934676102340773,0.0408282614047686
6,621.0,732,274,0.9310344827586208,0.6215396624570638,0,11876.334943639293,513.14653784219,4878.085346215781,5605.822866344605,4676.479871175523,3691.8373590982287,24.312399355877616,3760.5056360708536,27671.0,0.6215780998389694,0.1179421012556741,565.0,0.8840579710144928,0.0198491088106141,5395.0,1.0,0.1082282473841789,6197.0,0.9468599033816424,0.0093674988665538,6351.0,0.0,-0.0807139948950689,4450.0,1.0,0.0933290110444562,92.0,0.1159420289855072,-0.0217133332439141,4239.0,0.9774557165861514,0.0402556438096049
7,598.0,269,324,0.934375,0.9214677250703524,1,11206.11872909699,480.9096989966555,3610.202341137124,17904.83277591973,9487.505016722407,2528.230769230769,138.42809364548495,3622.2391304347825,25713.7,0.6187290969899666,0.1054445959498208,559.3000000000001,0.6605351170568562,0.0086635297524828,4110.6,0.8193979933110368,0.0224387484276421,27570.900000000005,0.9498327759197324,0.1970383603844469,12788.50000000001,0.3244147157190635,-0.0068607006724067,3491.3000000000006,0.5886287625418061,0.0185999255735514,252.60000000000016,0.802675585284281,0.0322165789912499,5089.300000000001,0.6939799331103679,0.0331023246706908
8,1135.0,82,355,0.953781512605042,0.6968440929061468,1,7601.945374449339,521.546255506608,4548.619383259912,4231.9480176211455,12284.719823788546,3889.5982378854624,21.724229074889863,3944.3920704845814,13085.0,0.5718061674008811,0.0382376638500286,597.0,0.8678414096916299,0.0227636534547563,5046.4,0.9982378854625552,0.0859354019307742,4732.0,0.0281938325991189,-0.0115964875334379,15347.0,0.8026431718061674,0.0360789061474532,4815.0,0.9955947136563876,0.1060296005240808,106.0,0.1268722466960352,-0.0229364760988233,4769.2,0.8951541850220265,0.0497691434429914
9,721.0,1307,593,0.9690860215053764,0.8251553323746592,0,8290.662968099861,475.9889042995839,3673.488210818308,4986.57975034674,4204.492371705964,1717.977808599168,30.095700416088764,2246.392510402219,21068.0,0.4868238557558946,0.0510801639180998,540.0,0.6449375866851595,0.0069561061934711,4715.0,0.6560332871012483,0.02672089672463,7317.0,0.4077669902912621,-8.154539983611098e-05,7493.0,0.0416088765603328,-0.0879594011470002,2297.0,0.130374479889043,-0.0334361004126794,80.0,0.1067961165048543,-0.0189802041984457,2960.0,0.0887656033287101,-0.0380781099111584
10,509.0,802,320,0.9408502772643254,0.7006727728819926,0,16971.27111984283,530.3614931237721,4829.834970530452,10189.361493123772,7508.89390962672,3529.1414538310414,101.15324165029467,4285.316306483301,28703.4,0.9096267190569745,0.2129472511065642,601.4,0.925343811394892,0.0258223757369091,5658.599999999999,0.9842829076620824,0.1049634543883518,14749.4,0.9273084479371316,0.0793078151369309,15541.4,0.2318271119842829,-0.0372340501818811,5066.799999999999,0.888015717092338,0.0828803625782571,296.90000000000003,0.4636542239685658,0.0146008644377574,5276.4,0.8958742632612967,0.0674071089869264
