cell_id,size,x,y,solidity,eccentricity,memref,DAPI,CD103,GranzymeB,CD4,CD8,CD20,CD3,Unstained,DAPI_local_90,DAPI_ratio_pixels,DAPI_otsu3,CD103_local_90,CD103_ratio_pixels,CD103_otsu3,GranzymeB_local_90,GranzymeB_ratio_pixels,GranzymeB_otsu3,CD4_local_90,CD4_ratio_pixels,CD4_otsu3,CD8_local_90,CD8_ratio_pixels,CD8_otsu3,CD20_local_90,CD20_ratio_pixels,CD20_otsu3,CD3_local_90,CD3_ratio_pixels,CD3_otsu3,Unstained_local_90,Unstained_ratio_pixels,Unstained_otsu3
1,1225.0,507,856,0.9653270291568163,0.3029366068744831,0,1873.4685714285715,6711.647346938776,6338.058775510204,7927.143673469388,5393.257142857143,1073.7991836734693,1354.7518367346938,10840.177142857143,5736.200000000001,0.38612244897959186,-0.019526179495267124,8233.0,0.9077551020408163,0.05145620130641154,8261.2,0.529795918367347,0.004317219953293511,9552.2,0.8138775510204082,0.0340625564542813,7598.4000000000015,0.46938775510204084,0.004323669773893202,1322.0,0.893061224489796,0.04989441249722987,2057.6000000000013,0.7012244897959183,0.007441496676433942,12199.2,0.9575510204081633,0.04530569837725046
2,1725.0,1207,23,0.9593993325917687,0.43885744417398875,0,1927.6301449275363,5880.735072463768,5908.032463768116,7695.550724637681,4978.971594202899,1266.4208695652173,1649.7020289855072,9608.897971014492,7215.900000000001,0.33159420289855074,-0.017098062688176444,7267.000000000001,0.816231884057971,0.027434452983919277,7340.0,0.4405797101449275,-0.003529116428527601,9019.6,0.8347826086956521,0.028667640575793907,7783.800000000002,0.37043478260869567,-0.007860840936210728,1546.0,0.9744927536231884,0.08792436035344864,2365.0,0.8892753623188406,0.01458955164700839,10896.0,0.8614492753623189,0.021524352711530498
3,1742.0,342,404,0.972640982691234,0.500654483262627,0,3205.1366245694603,7302.292766934558,7089.047072330654,8500.274397244546,5656.412743972445,1450.304822043628,1371.406429391504,11200.780137772676,11191.2,0.39265212399540755,0.04017381392089395,8795.0,0.9758897818599311,0.06853181333288691,8794.6,0.7835820895522388,0.018019885661800794,10195.9,0.9133180252583237,0.04741353306104515,7163.700000000001,0.5970149253731343,0.012063312758373135,1825.0,0.9902411021814007,0.12422918808857414,1845.8000000000002,0.8260619977037887,0.00784511717559324,12530.9,0.9758897818599311,0.052270507549930956
4,927.0,756,876,0.9439918533604889,0.5438933430446365,0,2859.453074433657,8389.573894282632,6044.185544768069,8578.129449838189,7804.597626752967,1186.975188781014,1953.336569579288,11623.873786407767,8674.2,0.447680690399137,0.0246764791169935,9998.6,0.9881337648327939,0.09996520816804372,7186.0,0.313915857605178,-0.0010448431555291487,9811.2,0.9633225458468176,0.04922715243752768,10879.8,0.9212513484358145,0.07524336283868024,1390.4,0.9654800431499461,0.0722391321630827,2370.4,0.9978425026968716,0.021948069946545037,12741.0,0.9859762675296656,0.06044228251149719
5,1864.0,1262,50,0.9795060430898581,0.3431613895516445,0,1359.4055793991417,5743.442596566523,11213.720493562232,8897.874463519312,6745.810622317596,1306.3353004291846,2055.8422746781116,12463.331008583691,6218.799999999999,0.2601931330472103,-0.04257213089979639,7423.3,0.7247854077253219,0.023465315201402798,15996.0,0.9157725321888412,0.09327940872919446,11264.2,0.8814377682403434,0.056675554731627664,9050.0,0.778969957081545,0.04410348446935669,1866.8000000000002,0.9463519313304721,0.0958048008004313,2937.8,0.947961373390558,0.02443227383619978,15186.5,0.9329399141630901,0.07665584546998921
6,1289.0,732,861,0.955522609340252,0.8138070527453894,0,1986.7719162141195,7971.179208688906,6616.394879751746,8356.176881303336,5693.710628394104,1235.044996121024,1555.1706749418154,11050.051978277736,6318.799999999999,0.39410395655546937,-0.014446678697923446,9176.6,1.0,0.08786938031046274,8208.4,0.6058960434445306,0.009395789895298795,10087.6,0.9138867339022498,0.04405680747538521,7402.0,0.5934833204034135,0.013160277095353196,1518.0,0.9984484096198604,0.08172971604067603,1945.8000000000002,0.9743987587276959,0.012298604453549557,12154.6,1.0,0.04935929249449997
7,1476.0,234,209,0.9571984435797666,0.5981688121182273,0,3244.0840108401085,5441.1070460704605,6001.3990514905145,6877.6070460704605,5804.444444444444,1122.9105691056911,1062.3773712737127,9595.364498644987,11882.8,0.36653116531165314,0.04191986369542314,6744.0,0.6951219512195121,0.014724767340863282,7759.0,0.49661246612466126,-0.0018255331033004696,9012.5,0.6219512195121951,0.009613790441447556,6943.0,0.690379403794038,0.01641705825032924,1584.5,0.7350948509485095,0.059590638643769234,1573.5,0.5487804878048781,0.0003558638949837066,11574.0,0.7696476964769647,0.02126296261265065
8,1732.0,825,489,0.9752252252252253,0.5660514850720896,0,2810.3845265588916,5188.187066974596,5444.606812933025,7272.491916859122,6663.75519630485,1049.7996535796767,1000.9976905311778,9305.308891454966,9854.199999999999,0.39549653579676675,0.02247668767636024,6112.700000000001,0.6495381062355658,0.0074128280781901035,7681.8,0.22113163972286373,-0.011984863077345087,9435.9,0.6443418013856813,0.018812562124001175,8470.9,0.8025404157043879,0.04169016056674363,1361.0,0.8077367205542725,0.04515610448266075,1543.0,0.4255196304849885,-0.0011316595701675175,11111.400000000001,0.6974595842956121,0.015660729735972295
9,1846.0,543,500,0.9731154454401687,0.40610048541649113,0,1356.9544962080174,6375.734019501625,6391.442036836403,8540.926868905743,5757.160888407368,1348.477789815818,1178.6836403033585,10399.400325027085,6358.4,0.26706392199349943,-0.042682015378910726,7432.5,0.9436619718309859,0.04174491690522189,8153.0,0.5097508125677139,0.005291260411020737,9829.0,0.9696641386782232,0.04836052503973495,7700.0,0.6267605633802817,0.01502640632723648,1662.5,1.0,0.10412513434172121,1496.5,0.6830985915492958,0.003174521506636902,11473.5,0.980498374864572,0.03679238465769358
10,1478.0,101,935,0.9366286438529785,0.5870255737808026,0,2179.628552097429,9093.918132611638,6690.659675236807,6371.60148849797,6932.715832205683,1208.4945872801084,1788.0771312584575,11565.12652232747,8229.0,0.34506089309878213,-0.005800725327381476,10698.4,1.0,0.12032786322236594,8302.599999999999,0.6474966170500677,0.01075083853021215,8055.5999999999985,0.4397834912043302,-0.0021735175526935713,11084.899999999998,0.6380243572395129,0.049600534846936356,1517.4999999999998,0.9546684709066305,0.07648777944819513,2655.0,0.8944519621109608,0.017943042723104416,14750.1,0.9668470906630582,0.05930761782621863
