cell_id,size,x,y,solidity,eccentricity,memref,DAPI,CD103,GranzymeB,CD4,CD8,CD20,CD3,Unstained,DAPI_local_90,DAPI_ratio_pixels,DAPI_otsu3,CD103_local_90,CD103_ratio_pixels,CD103_otsu3,GranzymeB_local_90,GranzymeB_ratio_pixels,GranzymeB_otsu3,CD4_local_90,CD4_ratio_pixels,CD4_otsu3,CD8_local_90,CD8_ratio_pixels,CD8_otsu3,CD20_local_90,CD20_ratio_pixels,CD20_otsu3,CD3_local_90,CD3_ratio_pixels,CD3_otsu3,Unstained_local_90,Unstained_ratio_pixels,Unstained_otsu3
422,1188.0,679,316,0.9611650485436893,0.6777361169067541,0,1257.9469696969697,4897.179292929293,4650.664141414141,8557.38468013468,5682.162457912458,172.77609427609428,461.00925925925924,11689.107744107743,5778.200000000001,0.1632996632996633,-0.04881806596944921,7125.5,0.0,-0.13512216834942992,8628.899999999998,0.45875420875420875,0.020522583077664358,10933.499999999998,0.7845117845117845,0.02580237564118526,8157.499999999999,0.8661616161616161,0.08348820610130986,300.60000000000014,0.03282828282828283,-0.009310535073878157,948.0,0.034511784511784514,-0.041146286817024307,14357.9,0.5505050505050505,0.003723849736602808
423,624.0,152,781,0.8547945205479452,0.895897754133591,0,8603.482371794871,7599.5641025641025,5974.9807692307695,7829.213141025641,4860.057692307692,409.6458333333333,4244.475961538462,19536.309294871793,19400.2,0.6506410256410257,0.11090915422055472,9409.5,0.0,-0.08358534613501978,7599.800000000001,0.9887820512820513,0.050281838550948726,8804.7,0.8237179487179487,0.013795259817802635,6170.4,0.9551282051282052,0.053118617419936925,697.5,0.7019230769230769,0.0020240299111557725,6616.400000000001,0.9951923076923077,0.15013109954693943,32107.800000000003,0.9791666666666666,0.12554264835752665
424,1153.0,871,416,0.9713563605728728,0.7452282800324809,0,3172.1977450130094,5065.31830008673,2143.0685169124026,6747.997398091934,3566.6990459670424,232.9410234171726,201.22376409366868,9493.743278404163,17889.0,0.2246313963573287,-0.00719305998275617,7552.6,0.0,-0.13191561164873883,3101.3999999999996,0.026886383347788378,-0.035826614120190496,10161.4,0.5281873373807459,-0.0040333450619682715,5846.4,0.4934952298352125,0.005340315006170757,518.0,0.191673894189072,-0.006431554829784065,598.1,0.0,-0.05428003278090654,13770.199999999999,0.44319167389418906,-0.030356664191453137
425,797.0,1106,267,0.9602409638554217,0.7472651923831161,0,2040.1355081555835,11640.653701380175,4407.022584692597,9874.904642409034,3568.072772898369,307.24592220828106,1047.1417816813048,16639.34755332497,8918.5,0.2697616060225847,-0.031809530297999836,15870.0,0.4127979924717691,-0.006518262474632414,5165.4,0.8745294855708908,0.01504761494837413,11930.6,0.9473023839397742,0.04752749662847777,6149.0,0.38143036386449186,0.00539106221456849,515.5999999999999,0.2710163111668758,-0.0028759562657536108,2149.0,0.24968632371392724,-0.01151370226585921,19032.2,1.0,0.08057064187559138
426,1458.0,871,938,0.9759036144578314,0.7246681177389689,0,875.9794238683128,5788.739368998628,2210.3052126200273,5566.049382716049,3232.3484224965705,273.7373113854595,357.8079561042524,9555.65157750343,4958.0,0.11659807956104253,-0.05712387500286351,8348.3,0.0,-0.11811934441035495,3784.3,0.10493827160493827,-0.03431571109087375,8253.599999999999,0.21810699588477367,-0.023522965234709398,5505.5,0.39163237311385457,-0.0070110194404665455,512.0,0.2825788751714678,-0.004479392519118599,878.0,0.013031550068587106,-0.046363744003829505,13295.899999999998,0.22085048010973937,-0.029395608893949904
427,1025.0,1172,269,0.9429622815087396,0.707211828238595,0,2387.4868292682927,5520.687804878049,2780.766829268293,5836.805853658537,5655.788292682927,255.13658536585365,302.5678048780488,10398.160975609757,9745.4,0.2965853658536585,-0.024256444251363557,6576.2,0.0,-0.1232313202307947,3604.2,0.06731707317073171,-0.021496636988083573,6989.6,0.09951219512195122,-0.019058351978175667,10477.6,0.8809756097560976,0.08251391111684253,490.0,0.23804878048780487,-0.0053694645843691425,540.7,0.0,-0.0491564715683494,12180.000000000002,0.22926829268292684,-0.01631661735279885
428,887.0,113,59,0.9641304347826087,0.511239948999876,0,995.6437429537767,8254.817361894025,2541.174746335964,8196.75535512965,3280.4069898534385,41.05749718151071,293.9954904171364,16355.718151071025,5253.6,0.14994363021420518,-0.05452179795916812,16080.8,0.22209695603156707,-0.07108909815023981,3444.4,0.0496054114994363,-0.02688060775126483,13328.8,0.5704622322435174,0.019855812445455506,5180.599999999999,0.4295377677564825,-0.005235675245532381,275.30000000000007,0.012401352874859075,-0.015613463444754967,1622.2000000000003,0.08568207440811725,-0.0495898545036837,27062.6,0.7282976324689966,0.07616762089892459
429,1434.0,34,876,0.8786764705882353,0.6629311435807154,0,5288.098326359833,5428.188981868898,5888.723152022315,6185.972105997211,3384.458158995816,1651.2203626220362,1134.5432357043235,12260.064156206416,16314.800000000001,0.47419804741980476,0.038816781309468404,6962.3,0.0,-0.12499535301379018,9212.0,0.8040446304044631,0.04834350868850845,9519.7,0.29567642956764295,-0.013300808036570022,6103.600000000002,0.38354253835425384,-0.0013918936000806709,5151.600000000002,0.6436541143654114,0.06143519506039029,2681.0,0.3737796373779637,-0.007095024104938147,15722.600000000002,0.606694560669456,0.012587292804405903
430,1106.0,284,384,0.9325463743676222,0.6449230534817441,0,3621.0641952983724,23972.1582278481,5898.870705244123,8484.791139240506,4082.8562386980107,174.32820976491863,3284.266726943942,19700.623869801086,12969.0,0.3589511754068716,0.002567452548455515,28245.5,1.0,0.2286542244898181,7652.5,0.972875226039783,0.04857153846810461,10226.0,0.8589511754068716,0.024605351304567674,4812.0,0.8499095840867993,0.024407813814111945,374.70000000000005,0.10126582278481013,-0.00923626406761802,4291.0,1.0,0.1015866488596533,22659.0,1.0,0.12809344356576813
431,942.0,413,176,0.9317507418397626,0.5323951510102068,0,4911.325902335457,3321.23991507431,2181.256900212314,4530.075371549894,2819.9108280254777,188.71549893842888,76.5828025477707,7105.445859872611,17956.000000000007,0.4002123142250531,0.030623939176208065,5478.799999999999,0.0,-0.16517669916518596,3504.7,0.054140127388535034,-0.034968467487532545,7102.0,0.10828025477707007,-0.040605560851267306,5186.2,0.3057324840764331,-0.022246985250259407,476.60000000000014,0.16348195329087048,-0.008547811145160835,225.0,0.0,-0.06058139585198328,10853.1,0.049893842887473464,-0.06743224080215453
